Availability,Accuracy,Avg Reward,Success Rate (%),Avg Learning Speed
0.1,0.1,-49.02333333333333,69.66666666666667,0.019448946515397084
0.3,0.1,-63.58,65.0,0.01694915254237288
0.5,0.1,-87.28666666666666,51.66666666666667,0.014146272457207527
0.7,0.1,-130.24,21.666666666666668,0.011356753482737736
1.0,0.1,-193.81666666666666,1.0,0.01009421265141319
0.1,0.3,-48.22666666666667,71.0,0.019818986589152408
0.3,0.3,-56.47666666666667,69.0,0.017848643503093765
0.5,0.3,-57.32666666666667,68.0,0.0178327290019616
0.7,0.3,-73.23333333333333,58.333333333333336,0.015119443604475355
1.0,0.3,-112.29,33.0,0.011761938367442956
0.1,0.5,-42.49333333333333,75.66666666666667,0.020624226591502818
0.3,0.5,-36.21333333333333,77.66666666666666,0.02196997436836324
0.5,0.5,-29.856666666666666,85.66666666666667,0.023849272597185785
0.7,0.5,-27.87,88.0,0.024937655860349125
1.0,0.5,-23.39666666666667,90.0,0.026084688287974958
0.1,0.7,-43.60666666666667,73.33333333333333,0.020225173599406728
0.3,0.7,-24.17,86.0,0.02564102564102564
0.5,0.7,-16.023333333333333,94.33333333333334,0.02945508100147275
0.7,0.7,-10.21,95.0,0.03388681802778719
1.0,0.7,-7.62,91.0,0.037425149700598806
0.1,1.0,-36.92666666666667,75.66666666666667,0.02209456473707468
0.3,1.0,-13.57,94.0,0.030750307503075027
0.5,1.0,-2.1433333333333335,95.66666666666667,0.040972411909314395
0.7,1.0,0.31666666666666665,96.0,0.04354768471476266
1.0,1.0,-11.006666666666666,75.66666666666667,0.03259452411994785
